name,house,role,wand,pet
Harry Potter,Gryffindor,Student,Holly and phoenix feather,Owl (Hedwig)
Hermione Granger,Gryffindor,Student,Vine wood and dragon heartstring,Cat (Crookshanks)
Ron Weasley,Gryffindor,Student,Willow and unicorn hair,Rat (Scabbers)
Draco Malfoy,Slytherin,Student,Hawthorn and unicorn hair,None
Luna Lovegood,Ravenclaw,Student,Unknown,Rabbit
Neville Longbottom,Gryffindor,Student,Cherry and unicorn hair,Frog (Trevor)
Albus Dumbledore,Gryffindor,Headmaster,Elder and thestral tail hair,Phoenix (Fawkes)


Severus Snape,Slytherin,Professor,Unknown,None
Minerva McGonagall,Gryffindor,Professor,Fir and dragon heartstring,None
Rubeus Hagrid,Gryffindor,Keeper of Keys,Oak and unknown,Giant Spider (Aragog)
